step	generator	AUROC	TPR_at_1pct_FPR
55	ministral-8b-instruct-2410	0.9972	0.9424
55	mistral-7b-instruct-v0.2	0.9989	0.9412
55	mixtral-8x7b-instruct-v0.1	0.9980	0.9429
55	o3-mini	0.9992	0.9773
55	qwen1.5-72b-chat-8bit	1.0000	1.0000
55	text-bison-002	0.9992	0.9710
55	MACRO_AVG	0.9951	0.9416
55	GLOBAL_TPR_AT_1FPR	-	0.9433
60	deepseek-r1-distill-qwen-32b	0.9987	0.9623
60	falcon3-10b-instruct	0.9984	0.9912
60	gemini-1.5-pro	0.9582	0.8138
60	gemini-2.0-flash	0.9960	0.9353
